ID,CD,MaxUseCount,AbilityClass,HitDamageBasics,HitDamagePec,BalanceValueConsume,LastHit,RelateSkill
int,int,int,int,varchar,varchar,varchar,int,varchar
n,n,n,n,n,n,n,n,n
TimelineID,CD（毫秒）,"技能最大使用次数（每次使用技能,则次数-1,为0时候,开始计算CD）","行为等级（0：移动、1：普攻、2：技能、3：反应如受击、死亡等）
TimelineDirector中决定特效的是强制打断还是自然回收","伤害固定初始值(数组，几次Hit对应几个值）
例如：有3个Hit点，则需要配置长度3的数组，[10,20,10]表示为每个hit点对应的起始值分别为10、20、10
注意：一定不要使用中文逗号字符","伤害计算使用攻击力的百分比（100为使用百分之百，几次Hit对应几个值）
例如：有3个Hit点，则需要配置长度3的数组，[30,40,150]表示为每个hit点对应的攻击使用的百分比为30%、40%、150%","消耗的平衡值
平衡值需要和Hit对应，例如有3个Hit点，则[30,40,50]表示为每个Hit点对应消耗的平衡值为30、40、50",最后一击（1是K的镜头，0是没有）,"关联Ability的ID组
使用数组,例如1050201关联1050051,1050052，则填写为[10500511050052]"
1050101,0,1,1,{10},{100},{5},1,{}
1050102,0,1,1,{10},{100},{5},1,{}
1050103,0,1,1,{10},{100},{5},1,{}
1050104,0,1,1,"{10,10,10}","{50,50,50}","{2,2,2}",1,{}
1050105,0,1,1,{10},{200},{10},0,{}
1050201,8000,1,2,"{10,10,10,10}","{50,80,100,150}","{2,2,2,5}",0,{}
1050202,10000,1,2,{0},{0},{0},1,{}
1050051,0,1,2,"{10,10,10,10,10,10}","{80,80,80,80,80,120}","{1,1,1,1,3}",1,{}
1050203,10000,1,2,{10},{120},{10},0,{}
1050305,2000,2,2,{0},{0},{0},1,{}
1050306,2000,2,2,{0},{0},{0},1,{}
1050304,0,1,3,{0},{0},{0},1,{}
1050311,0,1,3,{0},{0},{0},1,{}
1050312,0,1,3,{0},{0},{0},1,{}
1050313,0,1,3,{0},{0},{0},1,{}
1050314,0,1,3,{0},{0},{0},1,{}
1050315,0,1,3,{0},{0},{0},1,{}
1050316,0,1,3,{0},{0},{0},1,{}
1050317,0,1,3,{0},{0},{0},1,{}
1050319,0,1,3,{0},{0},{0},1,{}
1050320,0,1,3,{0},{0},{0},1,{}
1050401,0,1,3,{0},{0},{0},1,{}
1050001,0,1,0,{0},{0},{0},1,{}
1050002,0,1,0,{0},{0},{0},1,{}
1050303,0,1,0,{0},{0},{0},1,{}
1046101,0,1,1,{10},{100},{5},1,{}
1046102,0,1,1,{10},{100},{5},1,{}
1046103,0,1,1,{10},{100},{5},1,{}
1046104,0,1,1,{10},{100},{5},1,{}
1046105,0,1,1,{10},{200},{5},1,{}
1046201,8000,1,2,{10},{100},{5},0,{}
1046212,0,1,2,{10},{200},{10},0,{}
1046202,10000,1,2,"{10,10,10,10,10,10,10,10,10,10,10,10}","{50,50,50,50,50,30,30,30,30,30,30,150}","{1,1,1,1,1,1,1,1,1,1,1,1}",1,{}
1046203,0,1,2,{0},{0},{0},0,{}
1046305,2000,2,2,{0},{0},{0},1,{}
1046306,2000,2,2,{0},{0},{0},1,{}
1046304,0,1,3,{0},{0},{0},1,{}
1046311,0,1,3,{0},{0},{0},1,{}
1046312,0,1,3,{0},{0},{0},1,{}
1046313,0,1,3,{0},{0},{0},1,{}
1046314,0,1,3,{0},{0},{0},1,{}
1046315,0,1,3,{0},{0},{0},1,{}
1046316,0,1,3,{0},{0},{0},1,{}
1046317,0,1,3,{0},{0},{0},1,{}
1046319,0,1,3,{0},{0},{0},1,{}
1046320,0,1,3,{0},{0},{0},1,{}
1046401,0,1,3,{0},{0},{0},1,{}
1046001,0,1,0,{0},{0},{0},1,{}
1046002,0,1,0,{0},{0},{0},1,{}
1046303,0,1,0,{0},{0},{0},1,{}
6044001,0,1,0,{0},{0},{0},1,{}
6044002,0,1,0,{0},{0},{0},1,{}
6044303,0,1,0,{0},{0},{0},1,{}
6044304,0,1,0,{0},{0},{0},1,{}
6044105,0,1,0,{0},{0},{0},1,{}
6044201,0,1,0,{0},{0},{0},1,{}
6044203,0,1,0,{0},{0},{0},1,{}
1045101,0,1,1,{10},{100},{5},1,{}
1045102,0,1,1,"{10,10}","{50,50}","{3,3}",1,{}
1045103,0,1,1,{10},{100},{5},1,{}
1045104,0,1,1,"{10,10,10,10}","{30,30,30,30}","{2,2,2,2}",1,{}
1045105,0,1,1,{10},{200},{10},0,{}
1045201,10000,1,2,"{10,10}","{100,100}","{5,5}",0,{}
1045202,15000,1,2,"{10,10,10,10,10,10,10,10,10,10,10}","{15,15,15,15,15,15,15,15,15,15,150}","{1,1,1,1,1,1,1,1,1,1,5}",0,{}
1045203,0,1,2,{10},{350},{10},1,{}
1045305,2000,2,2,{0},{0},{0},1,{}
1045306,2000,2,2,{0},{0},{0},1,{}
1045304,0,1,3,{0},{0},{0},1,{}
1045311,0,1,3,{0},{0},{0},1,{}
1045312,0,1,3,{0},{0},{0},1,{}
1045313,0,1,3,{0},{0},{0},1,{}
1045314,0,1,3,{0},{0},{0},1,{}
1045315,0,1,3,{0},{0},{0},1,{}
1045316,0,1,3,{0},{0},{0},1,{}
1045317,0,1,3,{0},{0},{0},1,{}
1045319,0,1,3,{0},{0},{0},1,{}
1045320,0,1,3,{0},{0},{0},1,{}
1045401,0,1,3,{0},{0},{0},1,{}
1045001,0,1,0,{0},{0},{0},1,{}
1045002,0,1,0,{0},{0},{0},1,{}
1045303,0,1,0,{0},{0},{0},1,{}
1045307,0,1,0,{0},{0},{0},1,{}
1045310,0,1,0,{0},{0},{0},1,{}
1066101,0,1,1,{10},{100},{5},1,{}
1066102,0,1,1,{10},{100},{5},1,{}
1066103,0,1,1,"{10,10,10,10,10,10,10,10}","{80,80,80,80,80,80,80,120}","{1,1,1,1,1,1,1,8}",1,{}
1066104,0,1,1,{10},{200},{10},1,{}
1066201,15000,1,2,{0},{0},{0},1,{}
1066212,0,1,2,{0},{0},{0},1,{}
1066213,0,1,2,{0},{0},{0},1,{}
1066214,0,1,2,{0},{0},{0},1,{}
1066202,8000,1,2,{10},{120},{3},0,{}
1066203,12000,1,2,{10},"{20,20,20,20,20,20}","{1,1,1,1,1,1}",0,{}
1066232,12000,1,2,{10},{120},{10},1,{}
1066233,12000,1,2,"{10,10,10}","{50,100,150}","{3,3,3}",1,{}
1066234,12000,1,2,{10},{150},{5},1,{}
1066051,0,1,2,{10},{120},{5},1,{}
1066052,0,1,2,{10},{120},{5},1,{}
1066053,0,1,2,{10},{250},{5},1,{}
1066054,0,1,2,{10},{120},{5},1,{}
1066305,2000,2,2,{0},{0},{0},1,{}
1066306,2000,2,2,{0},{0},{0},1,{}
1066304,0,1,3,{0},{0},{0},1,{}
1066311,0,1,3,{0},{0},{0},1,{}
1066312,0,1,3,{0},{0},{0},1,{}
1066313,0,1,3,{0},{0},{0},1,{}
