ID,AdditionalRoleIDs,RoleCategory,ShapePartTypes,Radius,CameraDistance,CameraHeight,CameraLookAtHeight,DeathTime,ModelPath,ModelName,Melees,Ability,RageAbility,AvoidAbility,BaseHP,BaseAttack,BaseDefend,GrowHPByLevel,GrowAttackByLevel,GrowDefendByLevel,GrowHPByStar,GrowAttackByStar,UseRunMoveCurve,Speed,GrowDefendByStar,RoleType,HitRecoverID,HitBackRecoverID,HitAirID,HitUpID,HitDownID,HitFloorID,GetUpID,HitUpAirID,Run,Idle,Weight,RunLeft,RunRight,Death,NoAnimationDeath,AirDeath,Appear,MovementStop,CanHitBack,CanHitUp,RushID,RushStopID,RushSpeed,HitBackValidTime,BalanceValue
int,varchar,int,varchar,varchar,int,int,int,int,varchar,varchar,varchar,varchar,varchar,varchar,int,int,int,int,int,int,int,int,bool,int,int,int,varchar,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,bool,bool,int,int,int,varchar,int
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
ID,"附加角色ID;数组;
例如变身的情况需要加载其他角色","角色种族
0 == 无
1 == 人形
2 == 虚拟
3 == 机械",碰撞盒类型,半径,离相机距离,离相机高度,观注高度,死亡时机,模型路径,模型名,普攻ID列表,技能ID列表,威吓动作,"闪避能力列表
[往前，往后]",1级1星生命值,1级1星攻击力,1级1星防御力,按等级生命值成长,按等级攻击力成长,按等级防御力成长,按星级生命值成长,按星级攻击力成长,使用位移曲线,速度,按星级防御率成长,"角色类型
0 == 无
1 == 英雄
2 == 怪物",地面受击ID（一定要写）,击退受击,空中受击,挑空,下落,着地,起身,空中挑空,跑步,Idle,重量,朝左移动,朝右移动,死亡,无动画死亡,空中死亡,出场,移动停止动作,是否击退,是否击飞,冲刺,冲刺刹车,冲刺速度,击退位移有效时长,平衡值
1010,{},1,{0},{400},7500,3500,2200,2,Char/1010_tpose,1010_tpose,"{1010101,1010102,1010103,1010104,1010105}","{1010201,1010202,1010203,1010204}",{},"{1010306,1010305}",1000,10,10,100,3,3,100,1,0,6000,1,1,"{1010311,1010311}",1010311,1010312,1010314,1010313,1010317,1010315,1010319,1010002,1010001,120,1010002,1010002,1010304,1010316,1010316,1010401,1010303,1,1,1010002,1010303,10000,"{10000,10000}",100
1011,{1012},1,{0},{400},7500,3500,2200,2,Char/1011_tpose,1011_tpose,"{1011101,1011102,1011103,1011104}","{1011201,1011202,1011203,1011204}",{},"{1011305,1011306}",1000,10,10,100,3,3,100,1,1,6000,1,1,"{1011311,1011311}",1011311,1011312,1011314,1011313,1011317,1011315,1011319,1011002,1011001,120,1011002,1011002,1011304,1011316,1011316,1011401,1011303,1,1,1011002,1011303,10000,"{10000,10000}",100
1012,{},1,{0},{400},7500,3500,2200,2,Char/1012_tpose,1012_tpose,"{1012101,1012102,1012103,1012104,1012105}","{1012201,1012202,1012203}",{},"{1012305,1012306}",1000,10,10,100,3,3,100,1,1,6000,1,1,"{1012311,1012311}",1012311,1012312,1012314,1012313,1012317,1012315,1012319,1012002,1012001,120,1012002,1012002,1012304,1012316,1012316,1012101,1012303,1,1,1012002,1012303,10000,"{10000,10000}",100
1019,{},1,{0},{400},7500,3500,2200,2,Char/1019_tpose,1019_tpose,"{1019101,1019102,1019103,1019104,1019105}","{1019201,1019202,1019203,1019204}",{},"{1019305,1019306}",1000,10,10,100,3,3,100,1,0,6000,1,1,"{1019311,1019311}",1019311,1019312,1019314,1019313,1019317,1019315,1019319,1019002,1019001,120,1019002,1019002,1019304,1019316,1019316,1019101,1019303,1,1,1019002,1019303,10000,"{434,434}",100
1028,{},1,{0},{400},7500,3500,2200,2,Char/1028_tpose,1028_tpose,"{1028101,1028102,1028103}","{1028201,1028202,1028203,1028204}",{},"{1028305,1028306}",1000,10,10,100,3,3,100,1,1,6000,1,1,"{1028311,1028320}",1028320,1028312,1028314,1028313,1028317,1028315,1028319,1028002,1028001,120,1028002,1028002,1028304,1028316,1028316,1028401,1028303,1,1,1028002,1028303,10000,"{500,500}",100
1034,{},1,{0},{400},7500,3500,2200,2,Char/1034_tpose,1034_tpose,"{1034101,1034102,1034103,1034104}","{1034201,1034202,1034203}",{},"{1034305,1034306}",1000,10,10,100,3,3,100,1,1,6000,1,1,"{1034311,1034320}",1034311,1034312,1034314,1034313,1034317,1034315,1034319,1034002,1034001,120,1034002,1034002,1034304,1034316,1034316,1034401,1034303,1,1,1034002,1034303,10000,"{567,429}",100
1036,{},1,{0},{400},8500,3700,2200,2,Char/1036_tpose,1036_tpose,"{1036101,1036102,1036103,1036104,1036105}","{1036201,1036202,1036203}",{},"{1036305,1036306}",1000,10,10,100,3,3,100,1,1,6000,1,1,"{1036311,1036320}",1036311,1036312,1036314,1036313,1036317,1036315,1036319,1036002,1036001,120,1036002,1036002,1036304,1036316,1036316,1036401,1036303,1,1,1036002,1036303,10000,"{600,600}",100
1037,{},1,{0},{400},8500,3700,2200,2,Char/1037_tpose,1037_tpose,"{1037101,1037102,1037103,1037104,1037105}","{1037201,1037202,1037203}",{},"{1037305,1037306}",1000,10,10,100,3,3,100,1,1,6000,1,1,"{1037311,1037320}",1037311,1037312,1037314,1037313,1037317,1037315,1037319,1037002,1037001,120,1037002,1037002,1037304,1037316,1037316,1037401,1037303,1,1,1037002,1037303,10000,"{600,600}",100
1038,{6047},1,{0},{400},8500,3700,2200,2,Char/1038_tpose,1038_tpose,"{1038101,1038102,1038103,1038104}","{1038201,1038202,1038203}",{},{1038201},1000,10,10,100,3,3,100,1,0,6000,1,1,"{1038201,1038201}",1038201,1038201,1038201,1038201,1038201,1038201,1038201,1038002,1038001,120,1038201,1038201,1038201,1038201,1038201,1038201,1038001,1,1,1038201,1038201,10000,"{600,600}",100
