id,type,sub_type,name,desc,icon,point,need,amount_limit,reward,user_exp,unlock_condition,lock_condition,random_refresh,link
int,int,int,varchar,varchar,varchar,int,int,int,varchar,int,varchar,varchar,int,varchar
cs,cs,cs,c,c,c,cs,cs,cs,cs,cs,cs,cs,s,c
序号(CS),"类型,1=每日,2=每周(CS)",子类型，根据触发事件类型有不同含义(CS),任务名称(C),任务描述(C),图标(C),奖励活跃点数(CS),完成需求(CS),可完成次数上限(CS),奖励（类型，对应表中的ID，星级，数量）(CS),奖励玩家经验(CS),开启条件，1=按等级开启，2=按时间开启(CS),关闭条件，0=不关闭，1=按等级关闭，2=按时间关闭(CS),是否随机刷新，0=否，1=是(S),跳转的页面(C)
1,1,1001,hello，world,每日登录,1019,6,1,1,{},0,"{{1,5}}",0,0,nil
2,1,1002,午间佳闻,中午11:00-14:00在线,1028,0,1,1,"{{1,4,0,40}}",0,"{{1,5},{2,{11,0,0}}}","{{2,{14,0,0}}}",0,nil
3,1,1002,晚餐时间,晚上17:00-19:00在线,1034,0,1,1,"{{1,4,0,40}}",0,"{{1,5},{2,{17,0,0}}}","{{2,{19,0,0}}}",0,nil
4,1,1002,夜间飞行,晚上21:00-23:00在线,1037,0,1,1,"{{1,4,0,40}}",0,"{{1,5},{2,{21,0,0}}}","{{2,{23,0,0}}}",0,nil
5,1,1003,致富第一步,收取1次金币,1046,7,1,1,{},0,"{{1,5}}",0,0,/home
6,1,1004,是魔法！,进行一次装备强化,1048,10,1,1,{},0,"{{1,5}}",0,0,/herolist
7,1,1005,咚~咚咚！,和看板娘打招呼,1050,7,1,1,{},0,"{{1,5}}",0,0,/home
8,1,1006,小小收获,完成一次远征,1066,10,1,1,{},0,"{{1,5}}",0,0,/chapterMap
9,1,1007,过家家,完成一次后宅玩法,1019,10,1,1,{},0,"{{1,5}}",0,0,nil
10,1,1008,合作共赢,完成一次社团玩法,1028,10,1,1,{},0,"{{1,5}}",0,0,nil
11,1,1009,标准训练,通关任意关卡3次,1034,15,3,1,{},0,"{{1,5}}",0,0,/chapterMap
12,1,1010,每日挑战,通关一次每日挑战副本,1037,10,1,3,{},0,"{{1,5}}",0,0,/chapterMap
13,1,1011,星盘搜索,通关一次星盘材料副本,1046,10,1,10,{},0,"{{1,30}}",0,0,/chapterMap
14,1,1012,装备搜索,通关一次装备副本,1048,10,1,15,{},0,"{{1,30}}",0,0,/chapterMap
15,1,1013,特殊训练A,通关玩法A中一个关卡,1050,20,1,1,{},0,"{{1,30}}",0,0,nil
16,2,1014,特殊训练B,通关玩法B中一个关卡,1066,20,1,1,{},0,"{{1,30}}",0,0,nil
17,1,1015,我来啦！,活跃度达到20,icon_box,0,20,1,"{{1,2,0,2000},{6,2,0,3}}",20,"{{1,5}}",0,0,nil
18,1,1015,我在哪？,活跃度达到40,icon_box,0,40,1,"{{1,2,0,3000},{6,5,0,3}}",40,"{{1,5}}",0,0,nil
19,1,1015,我是谁？,活跃度达到60,icon_box,0,60,1,"{{1,2,0,5000},{1,4,0,30}}",60,"{{1,5}}",0,0,nil
20,1,1015,我好了！,活跃度达到80,icon_box,0,80,1,"{{1,1,0,15},{1,4,0,60}}",80,"{{1,5}}",0,0,nil
21,1,1015,才不是现充,活跃度达到100,icon_box,0,100,1,"{{1,1,0,40},{3,1048,0,1}}",100,"{{1,5}}",0,0,nil
22,2,1011,星盘搜索·进阶,刷星盘材料15次,nil,0,15,1,"{{4,1,6,1}}",100,"{{1,30}}",0,1,/chapterMap
23,2,1012,装备搜索·进阶,刷装备20次,nil,0,20,1,"{{4,1,6,1}}",100,"{{1,30}}",0,1,/chapterMap
24,2,1016,进阶训练,刷困难剧情7次,nil,0,7,1,"{{4,1,6,1}}",100,"{{1,30}}",0,1,/chapterMap
25,2,1017,魔鬼训练,刷噩梦剧情7次,nil,0,7,1,"{{4,1,6,1}}",100,"{{1,30}}",0,1,/chapterMap
26,2,1013,加强训练A,玩法A通关3个关卡,nil,0,3,1,"{{4,1,6,1}}",100,"{{1,30}}",0,1,/chapterMap
27,2,1014,加强训练B,玩法B通关3个关卡,nil,0,3,1,"{{4,1,6,1}}",100,"{{1,30}}",0,1,/chapterMap
