id,group_id,table_id,weight,star,type,num,icon,name,desc
int,int,int,int,int,int,int,int,varchar,varchar
s,s,s,s,s,s,s,c,c,c
id(S),掉落组id(S),掉落物品id 对应相应type中id(S),权重(S),星数(S),类型(S),掉落数量(S),图标(C),名称(C),文字描述(C)
10101,1,1,1,1,4,1,0,,
10102,1,9,2,1,4,1,0,,
10103,1,17,3,1,4,1,0,,
10104,1,25,4,1,4,1,0,,
10105,1,33,5,1,4,1,0,,
10106,1,41,6,1,4,1,0,,
10107,1,49,7,1,4,1,0,,
10108,1,57,8,1,4,1,0,,
10201,2,1,1,2,4,1,0,,
10202,2,9,2,2,4,1,0,,
10203,2,17,3,2,4,1,0,,
10204,2,25,4,2,4,1,0,,
10205,2,33,5,2,4,1,0,,
10206,2,41,6,2,4,1,0,,
10207,2,49,7,2,4,1,0,,
10208,2,57,8,2,4,1,0,,
10301,3,1,1,3,4,1,0,,
10302,3,9,2,3,4,1,0,,
10303,3,17,3,3,4,1,0,,
10304,3,25,4,3,4,1,0,,
10305,3,33,5,3,4,1,0,,
10306,3,41,6,3,4,1,0,,
10307,3,49,7,3,4,1,0,,
10308,3,57,8,3,4,1,0,,
10401,4,1,1,4,4,1,0,,
10402,4,9,2,4,4,1,0,,
10403,4,17,3,4,4,1,0,,
10404,4,25,4,4,4,1,0,,
10405,4,33,5,4,4,1,0,,
10406,4,41,6,4,4,1,0,,
10407,4,49,7,4,4,1,0,,
10408,4,57,8,4,4,1,0,,
10501,5,1,1,5,4,1,0,,
10502,5,9,2,5,4,1,0,,
10503,5,17,3,5,4,1,0,,
10504,5,25,4,5,4,1,0,,
10505,5,33,5,5,4,1,0,,
10506,5,41,6,5,4,1,0,,
10507,5,49,7,5,4,1,0,,
10508,5,57,8,5,4,1,0,,
10601,6,1,1,6,4,1,0,,
10602,6,9,2,6,4,1,0,,
10603,6,17,3,6,4,1,0,,
10604,6,25,4,6,4,1,0,,
10605,6,33,5,6,4,1,0,,
10606,6,41,6,6,4,1,0,,
10607,6,49,7,6,4,1,0,,
10608,6,57,8,6,4,1,0,,
20101,7,2,1,1,4,1,0,,
20102,7,10,2,1,4,1,0,,
20103,7,18,3,1,4,1,0,,
20104,7,26,4,1,4,1,0,,
20105,7,34,5,1,4,1,0,,
20106,7,42,6,1,4,1,0,,
20107,7,50,7,1,4,1,0,,
20108,7,58,8,1,4,1,0,,
20201,8,2,1,2,4,1,0,,
20202,8,10,2,2,4,1,0,,
20203,8,18,3,2,4,1,0,,
20204,8,26,4,2,4,1,0,,
20205,8,34,5,2,4,1,0,,
20206,8,42,6,2,4,1,0,,
20207,8,50,7,2,4,1,0,,
20208,8,58,8,2,4,1,0,,
20301,9,2,1,3,4,1,0,,
20302,9,10,2,3,4,1,0,,
20303,9,18,3,3,4,1,0,,
20304,9,26,4,3,4,1,0,,
20305,9,34,5,3,4,1,0,,
20306,9,42,6,3,4,1,0,,
20307,9,50,7,3,4,1,0,,
20308,9,58,8,3,4,1,0,,
