id,cost_diamond_to_money,diamond_to_money,shop_normal_refresh,shop_activity_refresh,cost_diamond_to_fatigue,diamond_to_fatigue
int,int,int,int,int,int,int
cs,cs,cs,cs,cs,cs,cs
序号(CS),购买金币花费的钻石数量(CS),钻石购买的金币数量(CS),刷新普通商店所需的钻石数(CS),刷新活动商店所需的钻石数(CS),购买体力花费的钻石数量(CS),钻石购买的体力数量(CS)
1,20,1000,1,1,20,5
2,25,1100,2,2,21,5
3,30,1200,3,3,22,5
4,35,1300,4,4,23,5
5,40,1400,5,5,24,5
6,45,1500,6,6,25,5
7,50,1600,7,7,26,5
8,55,1700,8,8,27,5
9,60,1800,9,9,28,5
10,65,1900,10,10,29,5
11,70,2000,11,11,30,5
12,75,2100,12,12,31,5
13,80,2200,13,13,32,5
14,85,2300,14,14,33,5
15,90,2400,15,15,34,5
16,95,2500,16,16,35,5
17,100,2600,17,17,36,5
18,105,2700,18,18,37,5
19,110,2800,19,19,38,5
20,115,2900,20,20,39,5
21,120,3000,21,21,40,5
22,125,31000,22,22,41,5
23,130,32000,23,23,42,5
24,135,33000,24,24,43,5
25,140,34000,25,25,44,5
26,145,35000,26,26,45,5
27,150,36000,27,27,46,5
28,155,37000,28,28,47,5
29,160,38000,29,29,48,5
30,165,39000,30,30,49,5
31,170,40000,31,31,50,5
32,175,41000,32,32,51,5
33,180,42000,33,33,52,5
34,185,43000,34,34,53,5
35,190,44000,35,35,54,5
36,195,45000,36,36,55,5
37,200,46000,37,37,56,5
38,205,47000,38,38,57,5
39,210,48000,39,39,58,5
40,215,49000,40,40,59,5
41,220,50000,41,41,60,5
42,225,51000,42,42,61,5
43,230,52000,43,43,62,5
44,235,53000,44,44,63,5
45,240,54000,45,45,64,5
46,245,55000,46,46,65,5
47,250,56000,47,47,66,5
48,255,57000,48,48,67,5
49,260,58000,49,49,68,5
50,265,59000,50,50,69,5
51,270,60000,51,51,70,5
52,275,61000,52,52,71,5
53,280,62000,53,53,72,5
54,285,63000,54,54,73,5
55,290,64000,55,55,74,5
56,295,65000,56,56,75,5
57,300,66000,57,57,76,5
58,305,67000,58,58,77,5
59,310,68000,59,59,78,5
60,315,69000,60,60,79,5
61,320,70000,61,61,80,5
62,325,71000,62,62,81,5
63,330,72000,63,63,82,5
64,335,73000,64,64,83,5
65,340,74000,65,65,84,5
66,345,75000,66,66,85,5
67,350,76000,67,67,86,5
68,355,77000,68,68,87,5
69,360,78000,69,69,88,5
70,365,79000,70,70,89,5
71,370,80000,71,71,90,5
72,375,81000,72,72,91,5
73,380,82000,73,73,92,5
74,385,83000,74,74,93,5
75,390,84000,75,75,94,5
76,395,85000,76,76,95,5
77,400,86000,77,77,96,5
78,405,87000,78,78,97,5
79,410,88000,79,79,98,5
80,415,89000,80,80,99,5
