id,value,description
varchar,varchar,varchar
cs,cs,n
键(CS),值(CS),描述(不导服务器/客户端，但是可以用工具导成配置里的注释)
hero_level_max,{80},英雄最高等级
equip_level_max,{80},装备最高等级
hero_star_max,{5},英雄最高星级
equip_star_max,{6},装备最高星级
fatigue_recovery,{1},体力值恢复1点所需时间
coin_max_buy_time,{20},每日最多金币购买次数
refresh_time1,"{{05,00,00}}",每日刷新时间
refresh_time2,"{{11,00,00}}",每日刷新时间
refresh_time3,"{{17,00,00}}",每日刷新时间
refresh_time4,"{{21,00,00}}",每日刷新时间
unlock_level_daily,{20},日常系统解锁等级
unlock_level_challenge,{30},挑战系统解锁等级
unlock_daily,"{{1},{2},{3},{1},{2},{3},{1,2,3}}","一周内每天开放的关卡类型，{{周一},{周二},{三},{四},{五},{六},{日}}"
daily_battle_limit,{3},日常本每日挑战次数
draw_guarantee_times,{60},累积保底次数
diamond_to_ticket,{260},钻石买券
mission_plot_chapter_num_max,{5},剧情关卡最大章数
number_of_week_assignmet,{1},每周随机选择的周常任务的数量
diamond_to_create_guild,{300},创建社团所需钻石
club_max_receive_request_num,{20},社团最大能接收的申请数
user_max_request_join_club,{10},玩家最多能同时发送的加入社团申请数
create_club_user_level,{30},玩家允许创建社团的等级
join_club_user_level,{10},玩家允许加入社团的等级
fatigue_max_buy_time,{20},每日最大购买体力次数
club_vice_chairman_num_max,{3},社团副团长最大人数
intelligence_to_gold_rate,{100},情报点兑换金币比例
user_friend_num_max,{3},玩家好友数量上限
user_black_num_max,{3},玩家黑名单数量上限
user_friend_request_num_max,{3},能接收的好友申请数量上限
monthly_card_extra_reward,"{{1,1,0,500}}",月卡累积领取15天额外奖励
