id,hero_astrolabe_suit_id,name,icon,unlock,unlock_gold,ability,desc,pos
int,int,varchar,varchar,varchar,int,varchar,varchar,int
cs,c,c,c,cs,cs,c,c,cs
序号(CS),"所属星盘,此处ID对应星盘套装属性的ID(C)",名字(C),图标(C),解锁所需材料(CS),解锁金币(CS),"加的属性，每个分号代表一个属性，比如1,500其中1是对应equip_attribute中的ID的参数，500代表具体数值，1在那个表代表攻击力，则1,500代表加500攻击力(C)",星盘描述(C),位置(CS)
1,1,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,1}}",100,"{{1,500},{4,30},{5,60}}",几句传说片段,1
2,1,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,2}}",101,"{{1,500},{4,30},{5,60}}",几句传说片段,2
3,1,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,3}}",102,"{{1,500},{4,30},{5,60}}",几句传说片段,3
4,1,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,4}}",103,"{{1,500},{4,30},{5,60}}",几句传说片段,4
5,1,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",104,"{{1,500},{4,30},{5,60}}",几句传说片段,5
6,1,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",105,"{{1,500},{4,30},{5,60}}",几句传说片段,6
7,2,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",106,"{{1,500},{4,30},{5,60}}",几句传说片段,1
8,2,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",107,"{{1,500},{4,30},{5,60}}",几句传说片段,2
9,2,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",108,"{{1,500},{4,30},{5,60}}",几句传说片段,3
10,2,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",109,"{{1,500},{4,30},{5,60}}",几句传说片段,4
11,2,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",110,"{{1,500},{4,30},{5,60}}",几句传说片段,5
12,2,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",111,"{{1,500},{4,30},{5,60}}",几句传说片段,6
13,3,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",112,"{{1,500},{4,30},{5,60}}",几句传说片段,1
14,3,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",113,"{{1,500},{4,30},{5,60}}",几句传说片段,2
15,3,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",114,"{{1,500},{4,30},{5,60}}",几句传说片段,3
16,3,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",115,"{{1,500},{4,30},{5,60}}",几句传说片段,4
17,3,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",116,"{{1,500},{4,30},{5,60}}",几句传说片段,5
18,3,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",117,"{{1,500},{4,30},{5,60}}",几句传说片段,6
19,4,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",118,"{{1,500},{4,30},{5,60}}",几句传说片段,1
20,4,天蝎座1（初阶）,icon_xp_tf_mj_01,"{{7,20},{8,10},{9,5}}",119,"{{1,500},{4,30},{5,60}}",几句传说片段,2
21,4,天蝎座1（初阶）,icon_xp_tf_sz_01,"{{7,20},{8,10},{9,5}}",120,"{{1,500},{4,30},{5,60}}",几句传说片段,3
22,4,天蝎座1（初阶）,icon_xp_tf_tl_01,"{{7,20},{8,10},{9,5}}",121,"{{1,500},{4,30},{5,60}}",几句传说片段,4
23,4,天蝎座1（初阶）,icon_xp_tf_tm_01,"{{7,20},{8,10},{9,5}}",122,"{{1,500},{4,30},{5,60}}",几句传说片段,5
24,4,天蝎座1（初阶）,icon_xp_tf_tx_01,"{{7,20},{8,10},{9,5}}",123,"{{1,500},{4,30},{5,60}}",几句传说片段,6
25,5,天蝎座1（初阶）,icon_xp_sz_tl_01,"{{7,20},{8,10},{9,5}}",124,"{{1,500},{4,30},{5,60}}",几句传说片段,1
