id,type,basics,up,weight,describe,name,percent,style,suit,battleName,varname,calc_type
int,int,float,float,int,varchar,varchar,bool,int,int,varchar,varchar,int
cs,cs,cs,cs,cs,cs,cs,cs,c,c,n,n,n
序号(CS),类型(CS),基础值(CS),成长值(CS),权重(CS),备注(CS),名称(CS),是否百分比(CS),属性显示方式(C),对应套装type(C),战斗系统对应的名称©,战斗变量名,"计算方式
1:+
2:*(1+x)"
1,1,2.0,2.0,1,攻击力,攻击力,0.0,1,1,Atk,ENTITY_ATTR_ATTACK,1
2,2,4.0,4.0,3,生命值,生命,0.0,1,2,Hp,ENTITY_ATTR_MAXHP,1
3,3,10.0,10.0,6,防御力,防御,0.0,1,3,Defend,ENTITY_ATTR_DEFEND,1
4,4,10.0,10.0,6,移速,移速,0.0,1,0,Speed,ENTITY_ATTR_SPEED,1
5,5,0.001,0.001,1,暴击率,暴击,1.0,1,9,Critical,ENTITY_ATTR_CRIT_RATE,1
6,6,0.001,0.001,3,暴击伤害,暴伤,1.0,1,10,CriticalDamagePercent,ENTITY_ATTR_CRIT_DAMAGE,1
7,7,0.001,0.001,6,冷却缩减,冷却,1.0,2,0,CDMinusPercent,ENTITY_ATTR_CDR,1
8,8,0.001,0.001,6,普攻伤害提高,普攻,1.0,2,12,AdditionalNormalAttackDamagePercent,,
9,9,0.0005,0.0005,1,技能伤害提高,技能,1.0,2,11,AdditionalSkillDamagePercent,,
10,10,0.0015,0.0015,1,生命值加成,生命百分比增加,1.0,2,6,nil,ENTITY_ATTR_MAXHP_PCT,2
11,11,0.0015,0.0015,4,攻击力加成,攻击力百分比增加,1.0,2,5,nil,ENTITY_ATTR_ATTACK_PCT,2
12,12,0.001,0.001,1,防御力加成,防御百分比增加,1.0,2,7,nil,ENTITY_ATTR_DEFEND_PCT,2
13,13,0.002,0.002,6,暴伤抵抗,受到暴击伤害降低,1.0,2,0,GetCriticalDamageMinusPercent,ENTITY_ATTR_CRIT_DAMAGE_RESIST,2
14,14,0.0003,0.0003,6,受到的普通攻击伤害降低,受到普攻伤害降低,1.0,2,0,GetNormalAttackDamageMinusPercent,,
15,15,0.0003,0.0003,6,受到的技能伤害降低,受到技能伤害降低,1.0,2,0,GetSkillDamageMinusPercent,,
16,16,0.001,0.001,6,极限闪避冷却缩减,极限闪避冷却缩减,1.0,2,0,nil,,
17,17,1.001,1.001,7,昏迷时间降低,昏迷时间缩短,1.0,2,0,SwimTimeMinusPercent,,
18,18,2.001,2.001,8,减速效果降低,减速效果降低,1.0,2,0,SlowEffectMinusPercent,,
19,19,2.0,2.0,1,基础伤害,基础伤害,1.0,2,0,,ENTITY_ATTR_FIXED_DAMAGE,1
20,20,2.0,2.0,1,真实伤害,真实伤害,1.0,2,0,,ENTITY_ATTR_REAL_DAMAGE,1
21,21,2.0,2.0,1,忽视防御,忽视防御,1.0,2,0,,ENTITY_ATTR_BREAK_DEFEND,
22,22,2.0,2.0,1,忽视抗性,忽视抗性,1.0,2,0,,ENTITY_ATTR_BREAK_RESIST,
23,23,2.0,2.0,1,全伤害提高,全伤害提高,1.0,2,0,,ENTITY_ATTR_DAMAGE_UP,2
24,24,2.0,2.0,1,受伤害提高,受伤害提高,1.0,2,0,,ENTITY_ATTR_HURT_UP,2
25,25,2.0,2.0,1,攻击倍率,攻击倍率,1.0,2,0,,ENTITY_ATTR_ATTACK_RATE,2
26,26,2.0,2.0,1,暴击抵抗,暴击抵抗,1.0,2,0,,ENTITY_ATTR_CRIT_RESIST,1
27,27,2.0,2.0,1,闪避,闪避,1.0,2,0,,ENTITY_ATTR_DOGE,
28,28,2.0,2.0,1,伤害减免值,伤害减免值,1.0,2,0,,ENTITY_ATTR_DAMAGE_DOWN,1
29,29,2.0,2.0,1,伤害减免加成,伤害减免加成,1.0,2,0,,ENTITY_ATTR_DAMAGE_DOWN_PCT,2
30,30,2.0,2.0,1,移速加成,移速加成,1.0,2,0,,ENTITY_ATTR_SPEED_PCT,2
31,31,2.0,2.0,1,吸血,吸血,1.0,2,0,,ENTITY_ATTR_LIFESTEAL,1
32,32,2.0,2.0,1,反伤,反伤,1.0,2,0,,ENTITY_ATTR_THORNS,
33,33,2.0,2.0,1,全伤害免疫,全伤害免疫,1.0,2,0,,ENTITY_ATTR_DAMAGE_IMMUNE,
