id,status_type,name,desc,STATUS_TYPE_SLOW,STATUS_TYPE_BLIND,STATUS_TYPE_CHAOS,STATUS_TYPE_DISARM,STATUS_TYPE_STOP,STATUS_TYPE_FROST,STATUS_TYPE_SWIM,STATUS_TYPE_THORNS,STATUS_TYPE_FRAIL,STATUS_TYPE_LOCK,STATUS_TYPE_BLOOD,STATUS_TYPE_POISON,STATUS_TYPE_PARALYSIS,STATUS_TYPE_FIRING,STATUS_TYPE_FRAGILE,STATUS_TYPE_FEEBLE,STATUS_TYPE_IMMUNE_1,STATUS_TYPE_IMMUNE_2,STATUS_TYPE_BOSS,STATUS_TYPE_REVIVE,STATUS_TYPE_SLEEP,STATUS_TYPE_BABA1,STATUS_TYPE_BABA2,STATUS_TYPE_IMMUNE_3,STATUS_TYPE_IMMUNE_4
int,varchar,varchar,varchar,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
类型ID,类型名,名字,备注,减速,致盲,混乱,缴械,禁锢,冰冻,眩晕,反伤,易伤,定身,流血,剧毒,麻痹,灼烧,脆弱,软弱,免疫效果1,免疫效果-诺亚,BOSS免疫效果,复活,睡眠,无敌1,无敌2,免疫效果3,免疫效果4
1,STATUS_TYPE_SLOW,减速,,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,3,0,0
2,STATUS_TYPE_BLIND,致盲,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0
3,STATUS_TYPE_CHAOS,混乱,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,3,3,3,0
4,STATUS_TYPE_DISARM,缴械,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0
5,STATUS_TYPE_STOP,禁锢,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,3,0,3,3,0,0
6,STATUS_TYPE_FROST,冰冻,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,3,0,0
7,STATUS_TYPE_SWIM,眩晕,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,3,0,0
8,STATUS_TYPE_THORNS,反伤,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,3,3
9,STATUS_TYPE_FRAIL,易伤,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
10,STATUS_TYPE_LOCK,定身,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,0,0
11,STATUS_TYPE_BLOOD,流血,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0
12,STATUS_TYPE_POISON,剧毒,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
13,STATUS_TYPE_PARALYSIS,麻痹,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
14,STATUS_TYPE_FIRING,灼烧,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0
15,STATUS_TYPE_FRAGILE,脆弱,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0
16,STATUS_TYPE_FEEBLE,软弱,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0
17,STATUS_TYPE_IMMUNE_1,免疫效果1,免疫减速、禁锢、混乱、反伤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,STATUS_TYPE_IMMUNE_2,免疫效果-诺亚,免疫减速、禁锢、混乱、反伤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,STATUS_TYPE_BOSS,BOSS免疫,大部分BUFF免疫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,STATUS_TYPE_REVIVE,复活,免疫控制与流血,2,2,2,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0
21,STATUS_TYPE_SLEEP,睡眠,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0
22,STATUS_TYPE_BABA1,无敌1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,STATUS_TYPE_BABA2,无敌2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,STATUS_TYPE_IMMUNE_3,免疫效果-普朗克,免疫混乱、反伤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,STATUS_TYPE_IMMUNE_4,免疫效果-反作用力,反伤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
