id,rand_id
int,int
s,s
序号(S),周常id(S)
1,2
2,4
3,4
4,1
5,4
6,6
7,1
8,6
9,4
10,1
11,4
12,4
13,1
14,4
15,3
16,6
17,5
18,7
19,1
20,2
21,4
22,1
23,5
24,2
25,1
26,6
27,7
28,7
29,4
30,6
31,6
32,1
33,3
34,7
35,5
36,3
37,2
38,1
39,2
40,4
41,5
42,2
43,5
44,7
45,5
46,1
47,3
48,7
49,4
50,4
51,6
52,3
53,7
54,7
55,5
56,3
57,7
58,5
59,7
60,6
61,7
62,5
63,1
64,7
65,3
66,5
67,2
68,3
69,2
70,7
71,2
72,7
73,2
74,1
75,7
76,5
77,7
78,1
79,5
80,6
81,5
82,3
83,1
84,2
85,4
86,7
87,7
88,3
89,3
90,3
91,5
92,7
93,2
94,4
95,6
96,5
97,6
98,1
99,6
100,6
101,2
102,6
103,4
104,7
105,3
106,3
107,2
108,6
109,5
110,4
111,6
112,4
113,6
114,7
115,2
116,2
117,2
118,3
119,1
120,2
121,3
122,1
123,7
124,1
125,1
126,5
127,2
128,6
129,3
130,5
131,4
132,2
133,7
134,3
135,1
136,7
137,2
138,5
139,5
140,4
141,5
142,2
143,3
144,6
145,6
146,4
147,7
148,6
149,2
150,2
151,1
152,7
153,2
154,4
155,2
156,6
157,7
158,3
159,2
160,6
161,6
162,1
163,3
164,4
165,4
166,5
167,4
168,6
169,4
170,5
171,4
172,6
173,3
174,2
175,1
176,2
177,6
178,6
179,2
180,5
181,7
182,4
183,1
184,3
185,3
186,7
187,5
188,7
189,6
190,2
191,1
192,7
193,7
194,1
195,4
196,7
197,7
198,3
199,3
200,3
201,5
202,2
203,1
204,7
205,1
206,5
207,5
208,2
209,7
210,2
211,5
212,5
213,6
214,1
215,6
216,5
217,3
218,2
219,6
220,5
221,6
222,1
223,5
224,1
225,5
226,1
227,2
228,5
229,2
230,7
231,7
232,7
233,1
234,7
235,3
236,6
237,4
238,3
239,5
240,1
241,6
242,5
243,6
244,1
245,7
246,7
247,1
248,4
249,4
250,6
251,4
252,3
253,3
254,1
255,7
256,6
257,6
258,1
259,7
260,3
261,1
262,3
263,4
264,3
265,3
266,5
267,2
268,1
269,6
270,3
271,2
272,1
273,4
274,3
275,6
276,7
277,4
278,3
279,5
280,5
281,5
282,5
283,5
284,4
285,2
286,6
287,1
288,3
289,3
290,5
291,5
292,5
293,4
294,5
295,3
296,6
297,4
298,5
299,1
300,7
301,3
302,6
303,3
304,5
305,7
306,4
307,5
308,5
309,2
310,1
311,3
312,5
313,7
314,2
315,7
316,1
317,2
318,5
319,7
320,6
321,1
322,7
323,5
324,6
325,6
326,6
327,1
328,6
329,6
330,5
331,3
332,6
333,4
334,2
335,7
336,6
337,2
338,1
339,3
340,1
341,4
342,4
343,6
344,1
345,5
346,1
347,5
348,4
349,7
350,6
351,5
352,1
353,5
354,2
355,4
356,1
357,6
358,7
359,7
360,7
361,2
362,3
363,3
364,5
365,6
366,4
367,1
368,1
369,5
370,5
371,5
372,4
373,1
374,4
375,7
376,2
377,2
378,7
379,5
380,4
381,7
382,1
383,7
384,2
385,2
386,7
387,5
388,5
389,2
390,6
391,4
392,4
393,1
394,1
395,4
396,7
397,3
398,2
399,6
400,6
401,5
402,2
403,5
404,1
405,1
406,6
407,5
408,3
409,1
410,6
411,7
412,1
413,2
414,5
415,3
416,6
417,3
418,5
419,4
420,7
421,2
422,2
423,5
424,6
425,2
426,3
427,6
428,7
429,6
430,6
431,2
432,6
433,5
434,7
435,3
436,6
437,3
438,6
439,2
440,1
441,5
442,3
443,5
444,1
445,5
446,5
447,2
448,7
449,6
450,6
451,5
452,7
453,5
454,6
455,2
456,5
457,7
458,3
459,3
460,3
461,5
462,6
463,1
464,5
465,5
466,4
467,1
468,4
469,5
470,5
471,7
472,2
473,5
474,7
475,5
476,5
477,3
478,2
479,7
480,7
