goods_id,position,level_limit,pre_goods_id,cost,give,num,weight,limit_num,refresh_cycle,taken_down,shop_id,name,icon_name,atlas_name,desc,countdown,open_time,close_time,board
int,int,int,varchar,varchar,varchar,int,int,int,int,int,int,varchar,varchar,varchar,varchar,int,varchar,varchar,varchar
cs,cs,cs,cs,cs,cs,c,cs,cs,cs,cs,cs,c,c,c,c,cs,cs,cs,c
商品id(CS),商品所在的位置(CS),玩家等级限制(CS),前置id(CS),"所需的货币[类型,id,数量](CS)","卖出的物品[类型,id,星级,数量](CS)",商品数量(C),刷新的权重(CS),可购买次数(CS),"限购次数刷新周期,0=系统固定刷新,1=永久限购,2=每月刷新,3=每周刷新,4=每日刷新(CS)",0=不下架，1=下架(CS),所属商店id(CS),商品名称(C),商品图标(C),显示图标图集名称(C),商品描述(C),"是否显示倒计时,0=否,1=是(CS)",开启时间(CS),关闭时间(CS),背景图(C)
1,1,0,{},"{1,1,0,100}","{{1,2,0,1000}}",1000,2,-1,,0,1,莱德币,icon_gold,CurrencyAtlas,购买可以获得1000莱德币。,0,{},{},comm_board_goods_purple_01
2,1,0,{},"{1,1,0,100}","{{1,2,0,15000}}",15000,1,-1,,0,1,莱德币,icon_gold,CurrencyAtlas,购买可以获得15000莱德币。,0,{},{},comm_board_goods_purple_01
3,2,0,{},"{1,1,0,99}","{{6,2,1,1}}",1,11,-1,,0,1,中级经验芯片,icon_exp_1000,ItemAtlas,购买可以获得1个中级经验芯片。,0,{},{},comm_board_goods_blue_01
4,3,0,{},"{1,1,0,99}","{{6,2,1,1}}",1,5,-1,,0,1,中级经验芯片,icon_exp_1000,ItemAtlas,购买可以获得1个中级经验芯片。,0,{},{},comm_board_goods_blue_01
5,4,0,{},"{1,1,0,99}","{{4,3,3,1}}",1,3,-1,,0,1,神巫之祝,icon_equip_30001,EquipAtlas,购买可以获得装备。,0,{},{},comm_board_goods_purple_01
6,5,0,{},"{1,1,0,99}","{{4,4,4,1}}",1,3,-1,,0,1,粉色蝴蝶结,icon_equip_40001,EquipAtlas,购买可以获得装备。,0,{},{},comm_board_goods_orange_01
7,6,0,{},"{1,2,0,99}","{{3,1028,0,1}}",1,5,1,0,0,1,托尔碎片,1028,HeadIconAtlas,购买可以获得托尔碎片。,0,{},{},comm_board_goods_orange_01
8,7,0,{},"{1,2,0,9999}","{{3,1039,0,1}}",1,5,1,0,0,1,波塞冬碎片,1039,HeadIconAtlas,购买可以获得波塞冬碎片。,0,{},{},comm_board_goods_orange_01
9,8,0,{},"{1,2,0,999}","{{3,1050,0,10}}",10,10,3,0,0,1,月读碎片,1050,HeadIconAtlas,购买可以获得月读碎片。,0,{},{},comm_board_goods_orange_01
10,8,0,{},"{1,2,0,999}","{{3,1034,0,1}}",1,10,3,0,0,1,荷鲁斯碎片,1034,HeadIconAtlas,购买可以获得荷鲁斯碎片。,0,{},{},comm_board_goods_orange_01
11,8,0,{},"{1,2,0,999}","{{3,1019,0,1}}",1,10,3,0,0,1,休碎片,1019,HeadIconAtlas,购买可以获得休碎片。,0,{},{},comm_board_goods_orange_01
12,8,0,{},"{1,2,0,999}","{{3,1046,0,1}}",1,10,3,0,1,1,天照碎片,1046,HeadIconAtlas,购买可以获得天照碎片。,0,{},{},comm_board_goods_orange_01
13,8,0,{},"{1,2,0,999}","{{4,5,1,1}}",1,10,3,0,1,1,景华之簪,icon_equip_50001,EquipAtlas,购买可以获得装备。,0,{},{},comm_board_goods_green_01
14,8,0,{},"{1,2,0,999}","{{4,6,1,1}}",1,10,3,0,1,1,冬日软帽,icon_equip_60001,EquipAtlas,购买可以获得装备。,0,{},{},comm_board_goods_green_01
15,1,0,{},"{1,1,0,1}","{{4,1,1,1}}",1,11,1,0,0,2,弥弥尔,icon_equip_10001,EquipAtlas,购买可以获得装备。,0,{},{},comm_board_goods_green_01
